year,month,day,doy,site,trt,veg,start.temp,stop.temp,Anthophila,Hymenoptera,Diptera,Collembola,Orthoptera,Hemiptera,Thysanoptera,Coleoptera,Lepidoptera,Araneae
2014,6,14,165,WPP,Agroforestry,Agroforestry,68,79,8,7,87,NA,11,9,0,0,2,0
2014,6,14,165,WPP,Agroforestry,Agroforestry,68,79,9,6,35,NA,11,14,0,3,0,0
2014,6,14,165,WPP,Agroforestry,Agroforestry,68,79,10,2,43,NA,10,15,0,1,0,0
2014,6,14,165,WPP,Agroforestry,Agroforestry,68,79,10,4,41,NA,4,17,0,1,0,1
2014,6,14,165,WPP,Row Crop,Corn,68,79,1,3,26,NA,4,1,0,1,0,0
2014,6,14,165,WPP,Row Crop,Corn,68,79,1,18,34,NA,12,0,0,1,0,0
2014,6,14,165,WPP,Row Crop,Corn,68,79,0,4,16,NA,5,0,0,0,0,0
2014,6,14,165,WPP,Row Crop,Corn,68,79,4,4,26,NA,2,1,0,1,11,0
2014,7,18,199,WPP,Agroforestry,Agroforestry,71,78,19,34,75,NA,1,2,18,2,1,1
2014,7,18,199,WPP,Agroforestry,Agroforestry,71,78,19,25,55,NA,2,6,19,1,2,2
2014,7,18,199,WPP,Agroforestry,Agroforestry,71,78,31,19,58,NA,1,4,18,0,0,1
2014,7,18,199,WPP,Agroforestry,Agroforestry,71,78,35,42,115,NA,0,8,53,3,0,2
2014,7,18,199,WPP,Row Crop,Corn,71,78,0,15,4,NA,0,6,4,2,0,0
2014,7,18,199,WPP,Row Crop,Corn,71,78,0,34,15,NA,0,0,4,2,0,0
2014,7,18,199,WPP,Row Crop,Corn,71,78,0,33,15,NA,0,3,5,2,0,0
2014,7,18,199,WPP,Row Crop,Corn,71,78,0,18,8,NA,0,1,2,1,0,0
2014,8,14,226,WPP,Agroforestry,Agroforestry,73,80,68,9,39,NA,1,16,33,2,3,0
2014,8,14,226,WPP,Agroforestry,Agroforestry,73,80,71,20,37,NA,2,19,52,1,1,0
2014,8,14,226,WPP,Agroforestry,Agroforestry,73,80,97,12,46,NA,1,16,44,0,2,1
2014,8,14,226,WPP,Agroforestry,Agroforestry,73,80,116,15,41,NA,1,15,32,1,9,0
2014,8,14,226,WPP,Row Crop,Corn,73,80,0,10,14,NA,0,10,7,0,0,0
2014,8,14,226,WPP,Row Crop,Corn,73,80,1,38,27,NA,0,19,3,0,0,0
2014,8,14,226,WPP,Row Crop,Corn,73,80,0,12,12,NA,0,7,3,1,0,0
2014,8,14,226,WPP,Row Crop,Corn,73,80,0,28,26,NA,1,13,7,1,0,0
